Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,89.789,-60.071,180.0,bottom
D2,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,89.77052,-56.75052,180.0,bottom
J1,Battery_Connector,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,96.266,-57.547,-90.0,bottom
J2,IMU_Conn_Female,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,75.311,-60.325,180.0,bottom
R1,180K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,76.673634,-57.293815,90.0,top
SW1,SW_SPDT,SW_CuK_OS102011MA1QN1_SPDT_Angled,56.574,-60.814509,180.0,bottom
U1,TP4056_Breakout,TP4056_Breakout,89.262509,-37.700509,180.0,top
U2,WeMos_D1_mini,WEMOS_D1_mini_light,50.631522,-38.208509,0.0,top
U3,BNO/MPU_Break,BNO_MPU_ICM_Breakout,90.786509,-56.242509,90.0,top
